employee_id,ssg,compensation,gender,city,years_of_experience
2977,HR,92313.79723,female,Los Angeles,4
2666,Finance,91261.14162,female,Seattle,5.760796421
5547,XYZ Division,52424.19504,female,Austin,12.02
1841,Buyers,110625.4845,female,Chicago,41.51365018
1618,Administrative Support,44926.42635,female,Austin,13.50798865
2963,HR,100062.6103,female,Chicago,4
2648,Finance,76508.52,female,Seattle,3.233334403
3097,IT,121847.4032,female,Chicago,21.3796703
1413,ABC Division,93174,female,Pittsburgh,1.85
1341,ABC Division,60105.76,female,Pittsburgh,22.51
5267,Warehouse,81859.4223,female,Ithaca,32.3520484
4369,Production,66827.904,female,Austin,2.17
2025,Buyers,135416.7565,female,Chicago,5.046090685
5197,Warehouse,87521.72688,female,Ithaca,24.57229046
4490,QRS Division,53203.36736,female,Austin,2.23
1616,Administrative Support,44752.81842,female,Seattle,20.57296818
1506,ABC Division,109836.48,female,Pittsburgh,7.43
4445,Production,148349.76,female,Austin,2.17
1964,Buyers,123725.0136,female,Chicago,5.888251795
5342,Warehouse,70117.6875,female,Ithaca,1.299445059
5081,Technicians,142314.2595,female,San Francisco,13
2529,Finance,118631.5997,female,Seattle,19.97640213
2610,Finance,91207.35399,female,Seattle,8.209410203
2631,Finance,86644.16875,female,Austin,25.04192201
3767,LMNOP Division Operators,65622.63307,female,Seattle,11.41
5472,Warehouse Leadership,100125.8504,female,Ithaca,33.20572524
2696,Finance,126502.8162,female,Austin,19.2595633
2698,Finance,126411.7854,female,Austin,10.41126705
2125,Call Center,75888.74,female,New York,17.3528771
1605,Administrative Support,42639.11998,female,Austin,0.229541
5324,Warehouse,106003.2036,female,Ithaca,0.595813719
4368,Production,66233.024,female,Austin,18.55
1967,Buyers,124508.7462,female,Chicago,7.196333492
5205,Warehouse,82474.18687,female,Ithaca,22.27146637
2286,Call Center,114574.44,female,New York,28.72609925
3153,IT,123584.4035,female,Chicago,10.65911435
1834,Buyers,110244.199,female,Austin,15.03896775
3467,LMNOP Division Operators,59682.01055,female,Seattle,7.57
1790,Buyers,102791.4425,female,Chicago,15.36341949
3091,IT,131556.9098,female,Chicago,22.37917444
3555,LMNOP Division Operators,56651.27559,female,Austin,5.25
